date,entries,title
2005-02-09,1 116 637,Iznogoud
2005-02-09,179 523,Bob l'éponge - Le film
2005-02-09,149 585,Coup d'éclat
2005-02-09,131 732,Sideways
2005-01-05,555 074,Alexandre
2005-01-05,210 915,La Chute
2005-01-05,119 694,Tu vas rire mais je te quitte
2005-01-12,345 633,Le Château ambulant
2005-01-12,344 396,"L'Un reste, l'autre part"
2005-01-12,168 675,Melinda et Melinda
2005-02-16,751 304,"Mon beau-père, mes parents et moi"
2005-02-16,555 362,Constantine
2005-02-16,209 515,Le promeneur du champ de Mars
2005-01-26,640 883,Aviator
2005-01-26,447 512,La Marche de l'Empereur
2005-01-26,145 101,Lolita malgré moi
2005-01-19,425 266,"Closer, entre adultes consentants"
2005-01-19,124 515,Mon ange
2005-02-23,381 813,Ray
2005-02-23,211 042,Neverland
2005-02-23,200 887,Je préfère qu'on reste amis...
2005-02-23,181 221,Trouble jeu
2005-03-09,501 196,Boudu
2005-03-09,241 007,Elektra
2005-03-09,120 257,La Vie aquatique
2005-03-02,260 436,Le Couperet
2005-03-02,194 391,Assaut sur le central 13
2005-02-02,701 031,Espace détente
2005-02-02,371 284,L'Ex femme de ma vie
2005-02-02,350 054,Danny the Dog
2005-02-02,189 760,Le Manège enchanté
2005-02-02,125 191,La Voix des morts
2005-04-27,280 435,Anthony Zimmer
2005-04-27,251 849,Otage
2005-04-27,207 910,xXx 2 : The Next Level
2005-04-27,77 394,Un fil à la patte
2005-03-16,861 055,Hitch - Expert en séduction
2005-03-16,489 073,Tout pour plaire
2005-03-16,288 919,De battre mon coeur s'est arrêté
2005-03-16,215 717,Saw
2005-03-16,70 097,Capitaine Sky et le monde de demain
2005-05-18,3 303 005,Star Wars : Episode III - La Revanche des Sith
2005-03-23,774 989,Million Dollar Baby
2005-03-23,196 506,Le Fils du Mask
2005-03-23,170 359,Be Cool
2005-03-23,57 534,Les Mots bleus
2005-04-06,1 346 829,Brice de Nice
2005-04-06,294 261,Robots
2005-04-06,95 639,Les Enfants
2005-04-13,375 878,Mon petit doigt m'a dit
2005-03-30,310 690,Le Cercle - The Ring 2
2005-05-11,213 232,Lemming
2005-05-11,91 689,Last Days
2005-04-13,223 079,Man to Man
2005-04-13,183 302,Winnie l'ourson et l'Efélant
2005-03-30,302 414,L'Antidote
2005-03-30,282 510,"Vaillant, pigeon de combat !"
2005-03-30,67 555,"Va, vis et deviens"
2005-05-11,70 398,En bonne compagnie
2005-05-04,586 771,Kingdom of Heaven
2005-05-04,251 070,Shall we dance ? La Nouvelle vie de Monsieur Clark
2005-05-04,88 334,Creep
2005-04-20,429 165,L'Empire des loups
2005-04-20,134 036,Garden State
2005-05-25,140 644,La Maison de cire
2005-05-25,46 483,Cavalcade
2005-05-25,43 644,Imposture
2005-07-20,952 331,Les 4 Fantastiques
2005-07-20,73 667,L'Avion
2005-06-22,874 013,Madagascar
2005-06-22,283 086,Sa mère ou moi !
2005-06-22,242 068,Amityville
2005-06-29,123 090,Camping à la ferme
2005-06-29,121 479,L'Amour aux trousses
2005-08-03,440 512,Le Transporteur II
2005-08-03,379 298,La Coccinelle revient
2005-08-03,169 890,La Porte des secrets
2005-08-03,82 663,Black/white
2005-07-06,1 700 096,La Guerre des Mondes
2005-06-15,662 329,Les Poupées russes
2005-07-06,107 723,Au suivant !
2005-07-06,99 266,La Moustache
2005-06-15,452 777,Batman Begins
2005-06-08,322 469,L'Interprète
2005-06-08,272 617,Baby-sittor
2005-06-08,155 625,Crazy kung-fu
2005-07-13,766 547,Charlie et la chocolaterie
2005-07-13,82 424,New police story
2005-07-13,37 434,Un Vrai bonheur
2005-06-01,430 479,Sin City
2005-06-01,184 154,Travaux
2005-06-01,176 199,Sahara
2005-06-01,120 645,Papa
2005-09-21,346 788,Ma sorcière bien-aimée
2005-09-21,191 616,Entre ses mains
2005-09-21,114 697,L'Anniversaire
2005-09-21,71 210,Rize
2005-08-10,172 946,Land of the dead (le territoire des morts)
2005-08-10,160 761,Serial noceurs
2005-07-27,1 132 991,Mr. et Mrs. Smith
2005-07-27,73 050,Zig-Zag
2005-07-27,70 800,Shaun of the Dead
2005-08-17,630 433,The Island
2005-08-17,240 257,H2G2 : le guide du voyageur galactique
2005-08-17,132 199,La Cloche a sonné
2005-08-31,147 141,Dark Water
2005-08-24,258 190,Peindre ou faire l'amour
2005-08-24,185 384,Furtif
2005-08-24,179 700,The Jacket
