entries,title,realisateur,acteurs,genres,budget,compagnies_production,date
1 116 637,iznogoud,Patrick Braoudé,"['Michaël Youn', 'Jacques Villeret', 'Fred Jaspart', 'Franck Dubosc']",['Comédie'],30456177,"['TF1 International', ""L'Arbre et la Colombe"", 'TPS Star', 'M6 Studio', 'Vertigo Productions']",2005-02-09
555 362,constantine,Francis Lawrence,"['Keanu Reeves', 'Rachel Weisz', 'Shia LaBeouf', 'Djimon Hounsou']","['Fantastique', 'Action', 'Horreur']",100000000,"['Village Roadshow Pictures', 'Lonely Film Productions GmbH & Co. KG.', ""The Donners' Company"", 'Batfilm Productions', 'Weed Road Pictures', 'Warner Bros. Pictures', '3 Arts Entertainment', 'DC Vertigo']",2005-02-16
447 512,lamarchedelempereur,Luc Jacquet,"['Charles Berling', 'Romane Bohringer', 'Jules Sitruk', 'Fiorello']","['Documentaire', 'Familial']",8000000,"['Wild Bunch', 'APC', ""L'Institut Polare Français Paul-Émile Victor"", 'Bonne Pioche', 'Canal+', 'National Geographic Films', 'Warner Independent Pictures (WIP)', 'The Walt Disney Company France']",2005-01-26
181 221,troublejeu,John Polson,"['Robert De Niro', 'Dakota Fanning', 'Famke Janssen', 'Elisabeth Shue']","['Horreur', 'Mystère']",30000000,"['MBC Beteiligungs Filmproduktion', 'Fox 2000 Pictures', 'Josephson Entertainment', '20th Century Fox']",2005-02-23
241 007,elektra,Rob Bowman,"['Jennifer Garner', 'Goran Visnjic', 'Will Yun Lee', 'Cary-Hiroyuki Tagawa']","['Action', 'Fantastique', 'Science-Fiction']",43000000,"['Regency Enterprises', 'Epsilon Motion Pictures', 'New Regency Pictures', 'Marvel Enterprises', 'Horseshoe Bay Productions', 'Elektra Productions', 'SAI Productions', '20th Century Fox']",2005-03-09
194 391,assautsurlecentral13,Jean-François Richet,"['Ethan Hawke', 'Laurence Fishburne', 'Gabriel Byrne', 'Maria Bello']","['Thriller', 'Action', 'Aventure', 'Crime']",30000000,"['Rogue Pictures', 'Why Not Productions', 'Liaison Films', 'Biscayne Pictures', 'Don Carmody Productions', 'Focus Features']",2005-03-02
350 054,dannythedog,Louis Leterrier,"['Jet Li', 'Morgan Freeman', 'Bob Hoskins', 'Kerry Condon']","['Action', 'Crime']",45000000,"['Canal+', 'Current Entertainment', 'Clubdeal', 'EuropaCorp', 'Qian Yian International', 'TF1 Films Production', 'Rogue Pictures', 'Danny the Dog Productions', 'Focus Features']",2005-02-02
125 191,lavoixdesmorts,Geoffrey Sax,"['Michael Keaton', 'Chandra West', 'Deborah Kara Unger', 'Ian McNeice']","['Drame', 'Horreur', 'Thriller']",10000000,"['White Noise UK Ltd.', 'Universal Pictures', 'Brightlight Pictures', 'Endgame Entertainment', 'Canadian Film or Video Production Tax Credit (CPTC)', 'Province of British Columbia Film Incentive BC', 'Gold Circle Films', 'The Movie Network', 'Corus Entertainment', 'Chum Television', 'Senator International']",2005-02-02
251 849,otage,Florent-Emilio Siri,"['Bruce Willis', 'Ben Foster', 'Jonathan Tucker', 'Jimmy Bennett']","['Action', 'Thriller', 'Crime']",52000000,"['Yari Film Group', 'Miramax', 'Cheyenne Enterprises', 'Stratus Film Co.', 'Syndicate Films International', 'Equity Pictures Medienfonds GmbH & Co. KG II', 'Hostage GmbH']",2005-04-27
207 910,xxx2thenextlevel,Lee Tamahori,"['Ice Cube', 'Samuel L. Jackson', 'Willem Dafoe', 'Scott Speedman']","['Action', 'Aventure', 'Crime', 'Mystère', 'Thriller']",60000000,"['Revolution Studios', 'Original Film', 'Columbia Pictures', 'Sony Pictures']",2005-04-27
